Season,Pos,Player,Team,Projected FFP
2024,RB,Trey Benson,ARI,120
2024,DST,Bengals,CIN,120
2024,DST,Bills,BUF,120
2024,DST,Browns,CLE,120
2024,DST,Colts,IND,120
2024,DST,Jets,NYJ,120
2024,RB,Ty Chandler,MIN,119
2024,WR,Jerry Jeudy,CLE,119
2024,WR,Josh Downs,IND,118
2024,DST,Giants,NYG,118
2024,WR,Dontayvion Wicks,GB,117
2024,DST,Buccaneers,TB,117
2024,DST,Chargers,LAC,117
2024,DST,Chiefs,KC,117
2024,DST,Texans,HOU,117
2024,RB,Tyler Allgeier,ATL,116
2024,WR,Josh Reynolds,DEN,116
2024,DST,Commanders,WSH,116
2024,DST,Dolphins,MIA,116
2024,DST,Lions,DET,116
2024,DST,Steelers,PIT,116
2024,WR,Greg Dortch,ARI,115
2024,DST,49ers,SF,115
2024,WR,Marvin Mims,DEN,114
2024,DST,Jaguars,JAX,113
2024,DST,Packers,GB,113
2024,DST,Saints,NO,113
2024,DST,Seahawks,SEA,113
2024,DST,Vikings,MIN,113
2024,RB,Rico Dowdle,DAL,111
2024,RB,Chase Brown,CIN,110
2024,TE,Chigoziem Okonkwo,TEN,110
2024,DST,Broncos,DEN,110
2024,WR,Michael Wilson,ARI,109
2024,WR,Jalen McMillan,TB,109
2024,RB,Bucky Irving,TB,108
2024,DST,Falcons,ATL,108
2024,DST,Patriots,NE,108
2024,DST,Raiders,LV,108
2024,K,Justin Tucker,BAL,108
2024,DST,Rams,LAR,107
2024,K,Evan McPherson,CIN,107
2024,DST,Bears,CHI,106
2024,WR,Rashee Rice,KC,105
2024,DST,Titans,TEN,105
2024,WR,Rashod Bateman,BAL,104
2024,DST,Cardinals,ARI,104
2024,DST,Panthers,CAR,104
2024,WR,Malachi Corley,NYJ,103
2024,WR,Elijah Moore,CLE,103
2024,RB,Jaleel McLaughlin,DEN,102
2024,TE,Hunter Henry,NE,102
2024,K,Harrison Butker,KC,102
2024,WR,Roman Wilson,PIT,101
2024,WR,Van Jefferson,PIT,101
2024,WR,Andrei Iosivas,CIN,101
2024,WR,Jermaine Burton,CIN,100
2024,WR,Darius Slayton,NYG,100
2024,TE,Cole Kmet,CHI,100
2024,QB,Aidan O'Connell,LV,99
2024,WR,Dyami Brown,WSH,99
2024,K,Brandon Aubrey,DAL,99
2024,RB,Jordan Mason,SF,98
2024,TE,Dalton Schultz,HOU,98
